,annotator_ann1,filename,mark_ann1,label_ann1,offset,span,annotator_ann2,mark_ann2,label_ann2
31,ann1,t11_9453941,T14,MTP,løb,1299 1302,ann2,T23,MTP
32,ann1,t11_9453941,T5,MTP,planen,871 877,ann2,T14,MTP
33,ann1,t11_9453941,T16,MTP,planer,1144 1150,ann2,T21,MTP
34,ann1,t11_9453941,T8,MTP,strække,648 655,ann2,T11,MTP
35,ann1,t11_9453941,T9,MTP,stå,878 881,ann2,T15,MTP
36,ann1,t11_9453941,T10,MTP,svarende,994 1002,ann2,T17,MTP
37,ann1,t11_9453941,T11,MTP,til,1003 1006,ann2,T18,MTP
38,ann1,t11_9453941,T1,MTP,udpeget,140 147,ann2,T3,MTP
39,,t11_9453941,,,vært,152 156,ann2,T4,WIDLII
40,ann1,t12_9488036,T12,MTP,give,507 511,ann2,T6,MTP
41,ann1,t12_9488036,T11,MTP,givet,388 393,ann2,T5,MTP
42,ann1,t12_9488036,T9,MTP,klar,1393 1397,ann2,T14,MTP
43,ann1,t12_9488036,T4,MTP,klar,179 183,ann2,T2,MTP
44,ann1,t12_9488036,T1,MTP,klar,653 657,ann2,T8,MTP
45,ann1,t12_9488036,T10,MTP,oplyst,1757 1763,ann2,T15,MTP
46,ann1,t12_9488036,T5,MTP,selskabet,58 67,ann2,T1,MTP
47,ann1,t12_9488036,T3,MTP,tage,746 750,ann2,T3,MTP
48,ann1,t12_9488036,T2,MTP,vurderer,707 715,ann2,T9,MTP
49,ann1,t7_9048164,T40,MTP,arbejdsplads,1361 1373,ann2,T38,MTP
50,ann1,t7_9048164,T9,MTP,bølge,373 378,ann2,T8,MTP
51,ann1,t7_9048164,T19,MTP,forbindelse,660 671,ann2,T19,MTP
52,ann1,t7_9048164,T41,MTP,format,1460 1466,ann2,T39,MTP
53,ann1,t7_9048164,T24,MTP,fortsat,848 855,ann2,T24,MTP
54,ann1,t7_9048164,T15,MTP,gang,633 637,ann2,T14,MTP
55,ann1,t7_9048164,T45,MTP,giver,1796 1801,ann2,T46,MTP
56,ann1,t7_9048164,T12,MTP,holdt,509 514,ann2,T12,MTP
57,ann1,t7_9048164,T39,MTP,håndterer,1321 1330,ann2,T36,MTP
58,ann1,t7_9048164,T42,MTP,håndterer,1669 1678,ann2,T42,MTP
59,ann1,t7_9048164,T50,MTP,håndtering,2017 2027,ann2,T52,MTP
60,ann1,t7_9048164,T47,MTP,kanal,1729 1734,ann2,T43,MTP
61,ann1,t7_9048164,T4,MTP,kanalen,142 149,ann2,T2,MTP
62,ann1,t7_9048164,T22,MTP,ledelse,754 761,ann2,T22,MTP
63,ann1,t7_9048164,T44,MTP,plads,1802 1807,ann2,T45,MTP
64,ann1,t7_9048164,T29,MTP,ramt,1038 1042,ann2,T31,MTP
65,ann1,t7_9048164,T2,MTP,ramt,137 141,ann2,T3,MTP
66,ann1,t7_9048164,T11,MTP,ramt,422 426,ann2,T11,MTP
67,ann1,t7_9048164,T21,MTP,rettede,712 719,ann2,T21,MTP
68,ann1,t7_9048164,T37,MTP,rolle,1222 1227,ann2,T34,MTP
69,ann1,t7_9048164,T1,MTP,rolle,23 28,ann2,T1,MTP
70,ann1,t7_9048164,T6,MTP,rolle,291 296,ann2,T5,MTP
71,ann1,t7_9048164,T25,MTP,rolle,867 872,ann2,T25,MTP
72,ann1,t7_9048164,T26,MTP,rolle,983 988,ann2,T27,MTP
73,ann1,t7_9048164,T35,MTP,sag,1334 1337,ann2,T37,MTP
74,ann1,t7_9048164,T32,MTP,sager,1166 1171,ann2,T30,MTP
75,ann1,t7_9048164,T3,MTP,sager,122 127,ann2,T9,MTP
76,ann1,t7_9048164,T10,MTP,sager,382 387,ann2,T10,MTP
77,ann1,t7_9048164,T16,MTP,satte,208 213,ann2,T16,MTP
78,ann1,t7_9048164,T33,MTP,ser,1582 1585,ann2,T41,MTP
79,ann1,t7_9048164,T18,MTP,skarp,723 728,ann2,T18,MTP
80,ann1,t7_9048164,T43,MTP,skubbe,1757 1763,ann2,T44,MTP
81,ann1,t7_9048164,T5,MTP,skærmen,189 196,ann2,T4,MTP
82,ann1,t7_9048164,T23,MTP,skærmen,839 846,ann2,T23,MTP
83,ann1,t7_9048164,T7,MTP,stop,269 273,ann2,T7,MTP
84,ann1,t7_9048164,T27,MTP,stor,1014 1018,ann2,T28,MTP
85,ann1,t7_9048164,T28,MTP,stormen,1026 1033,ann2,T29,MTP
86,ann1,t7_9048164,T20,MTP,største,680 687,ann2,T20,MTP
87,ann1,t7_9048164,T48,MTP,tale,1857 1861,ann2,T47,MTP
88,ann1,t7_9048164,T13,MTP,tale,533 537,ann2,T13,MTP
89,ann1,t7_9048164,T14,MTP,tale,653 657,ann2,T15,MTP
90,ann1,t7_9048164,T49,MTP,talen,1937 1942,ann2,T49,MTP
91,ann1,t7_9048164,T8,MTP,tilbage,343 350,ann2,T6,MTP
92,ann1,t7_9048164,T46,MTP,tingene,1679 1686,ann2,T48,MTP
93,ann1,t7_9048164,T17,MTP,tvivlsom,402 410,ann2,T17,MTP
94,ann1,t7_9048164,T36,MTP,underholdningsprogrammer,1124 1148,ann2,T33,MTP
95,ann1,t7_9048164,T34,MTP,viser,1438 1443,ann2,T40,MTP
96,ann1,t7_9048164,T31,MTP,vært,1089 1093,ann2,T32,MTP
97,ann1,t7_9048164,T38,MTP,vært,1232 1236,ann2,T35,MTP
98,ann1,t7_9048164,T30,MTP,vært,301 305,,,
99,,t7_9048164,,,vært,993 997,ann2,T26,MTP
100,ann1,t8_9273904,T33,HPB,al,2483 2485,ann2,T35,HPB
101,,t8_9273904,,,dag,746 749,ann2,T17,MTP
102,ann1,t8_9273904,T24,MTP,dreje,2118 2123,ann2,T28,MTP
103,ann1,t8_9273904,T30,MTP,en,2468 2470,ann2,T32,MTP
104,ann1,t8_9273904,T9,MTP,en,584 586,ann2,T9,MTP
105,ann1,t8_9273904,T18,MTP,fandt,849 854,ann2,T20,MTP
106,ann1,t8_9273904,T22,MTP,farver,1952 1958,ann2,T26,MTP
107,ann1,t8_9273904,T7,MTP,farverige,507 516,ann2,T6,MTP
108,ann1,t8_9273904,T23,MTP,fest,1962 1966,ann2,T27,MTP
109,ann1,t8_9273904,T32,MTP,for,2479 2482,ann2,T34,MTP
110,ann1,t8_9273904,T17,MTP,gamle,806 811,ann2,T19,MTP
111,ann1,t8_9273904,T5,MTP,gang,315 319,ann2,T4,MTP
112,ann1,t8_9273904,T28,MTP,genoprette,2325 2335,,,
113,,t8_9273904,,,gælder,1693 1699,ann2,T24,MTP
114,,t8_9273904,,,hjælper,1753 1760,ann2,T25,MTP
115,ann1,t8_9273904,T20,MTP,højere,1368 1374,ann2,T22,MTP
116,,t8_9273904,,,i,744 745,ann2,T16,MTP
117,ann1,t8_9273904,T12,MTP,kommer,607 613,ann2,T11,MTP
118,ann1,t8_9273904,T34,MTP,kultur,2486 2492,,,
119,ann1,t8_9273904,T4,MTP,løb,197 200,ann2,T2,MTP
120,ann1,t8_9273904,T21,MTP,mulighed,1601 1609,ann2,T23,MTP
121,ann1,t8_9273904,T25,MTP,nøglen,2124 2130,ann2,T29,MTP
122,ann1,t8_9273904,T26,MTP,om,2131 2133,ann2,T30,MTP
123,ann1,t8_9273904,T14,MTP,rigtige,636 643,ann2,T14,MTP
124,ann1,t8_9273904,T14,MTP,rigtige,636 643,ann2,T15,HPB
125,ann1,t8_9273904,T15,HPB,rigtige,636 643,ann2,T14,MTP
126,ann1,t8_9273904,T15,HPB,rigtige,636 643,ann2,T15,HPB
127,ann1,t8_9273904,T11,MTP,rolle,592 597,ann2,T10,MTP
128,ann1,t8_9273904,T1,MTP,rund,233 237,ann2,T3,MTP
129,ann1,t8_9273904,T29,MTP,satte,2462 2467,,,
130,,t8_9273904,,,skabe,621 626,ann2,T13,MTP
131,ann1,t8_9273904,T8,MTP,spiller,576 583,ann2,T8,MTP
132,ann1,t8_9273904,T31,MTP,stopper,2471 2478,ann2,T33,MTP
133,ann1,t8_9273904,T10,MTP,stor,587 591,ann2,T7,MTP
134,ann1,t8_9273904,T19,MTP,store,1093 1098,ann2,T21,MTP
135,ann1,t8_9273904,T27,MTP,støtte,2233 2239,ann2,T31,MTP
136,ann1,t8_9273904,T13,MTP,til,614 617,ann2,T12,MTP
137,ann1,t8_9273904,T6,MTP,tilbage,358 365,ann2,T5,MTP
138,ann1,t8_9273904,T16,MTP,tilbage,788 795,ann2,T18,MTP
139,ann1,t8_9273904,T2,MTP,vilde,168 173,ann2,T1,MTP
140,ann1,t8_9273904,T3,HPB,vilde,168 173,ann2,T1,MTP
141,ann1,t9_9299101,T29,MTP,af,1587 1589,ann2,T32,MTP
142,ann1,t9_9299101,T13,MTP,alle,496 500,ann2,T14,MTP
143,ann1,t9_9299101,T16,MTP,brølstærke,567 577,ann2,T17,MTP
144,ann1,t9_9299101,T38,MTP,bud,1942 1945,ann2,T42,MTP
145,ann1,t9_9299101,T6,MTP,bud,222 225,ann2,T7,MTP
146,ann1,t9_9299101,T20,MTP,drøm,746 750,ann2,T20,MTP
147,ann1,t9_9299101,T4,MTP,drømmen,177 184,ann2,T4,MTP
148,ann1,t9_9299101,T1,MTP,drømmer,57 64,ann2,T1,MTP
149,ann1,t9_9299101,T24,MTP,farvel,1422 1428,ann2,T28,MTP
150,ann1,t9_9299101,T2,MTP,feltet,123 129,ann2,T2,MTP
151,ann1,t9_9299101,T34,MTP,gode,1737 1741,ann2,T38,MTP
152,ann1,t9_9299101,T10,MTP,guf,419 422,ann2,T10,MTP
153,ann1,t9_9299101,T32,MTP,har,1699 1702,ann2,T36,MTP
154,ann1,t9_9299101,T15,MTP,ind,506 509,ann2,T16,MTP
155,ann1,t9_9299101,T5,MTP,knæk,193 197,ann2,T5,MTP
156,ann1,t9_9299101,T19,MTP,knæk,759 763,ann2,T22,MTP
157,ann1,t9_9299101,T41,MTP,kommer,1117 1123,ann2,T24,MTP
158,ann1,t9_9299101,T30,MTP,kommer,1625 1631,ann2,T33,MTP
159,,t9_9299101,,,køre,1131 1135,ann2,T26,MTP
160,ann1,t9_9299101,T39,MTP,lidt,185 189,ann2,T6,MTP
161,ann1,t9_9299101,T17,MTP,lidt,751 755,ann2,T21,MTP
162,ann1,t9_9299101,T31,MTP,mig,1632 1635,ann2,T34,MTP
163,ann1,t9_9299101,T26,MTP,måtte,1411 1416,ann2,T44,MTP
164,ann1,t9_9299101,T36,MTP,på,1890 1892,ann2,T40,MTP
165,ann1,t9_9299101,T3,MTP,rammer,136 142,ann2,T3,MTP
166,ann1,t9_9299101,T7,MTP,rammer,294 300,ann2,T8,MTP
167,ann1,t9_9299101,T9,MTP,ren,415 418,ann2,T11,MTP
168,ann1,t9_9299101,T11,WIDLII,rytter,430 436,ann2,T12,WIDLII
169,ann1,t9_9299101,T11,WIDLII,rytter,430 436,ann2,T43,MTP
170,ann1,t9_9299101,T21,HPB,samtidig,1079 1087,ann2,T18,HPB
171,ann1,t9_9299101,T14,MTP,sejl,501 505,ann2,T15,MTP
172,ann1,t9_9299101,T28,MTP,sig,1583 1586,ann2,T31,MTP
173,ann1,t9_9299101,T23,MTP,sige,1417 1421,ann2,T27,MTP
174,ann1,t9_9299101,T40,MTP,sige,850 854,ann2,T23,MTP
175,ann1,t9_9299101,T37,MTP,spring,1893 1899,ann2,T41,MTP
176,ann1,t9_9299101,T12,MTP,sætter,489 495,ann2,T13,MTP
177,ann1,t9_9299101,T42,MTP,til,1124 1127,ann2,T25,MTP
178,ann1,t9_9299101,T25,MTP,til,1429 1432,ann2,T29,MTP
179,ann1,t9_9299101,T33,MTP,til,1733 1736,ann2,T37,MTP
180,ann1,t9_9299101,T27,MTP,tog,1579 1582,ann2,T30,MTP
181,ann1,t9_9299101,T18,MTP,udgå,684 688,ann2,T19,MTP
182,,t9_9299101,,,udtalte,1645 1652,ann2,T35,WIDLII
183,ann1,t9_9299101,T8,MTP,venter,324 330,ann2,T9,MTP
